Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Cerebral infarction due to embolism of cerebral arteries,Monitor vitals regularly,Exercise lightly,Maintain hygiene,Take medicines on time
Laceration with foreign body of right upper arm,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Exercise lightly
Other fracture of lower end of left ulna,Take medicines on time,Monitor vitals regularly,Get adequate rest,Exercise lightly
"Aplastic anemia, unspecified",Take medicines on time,Monitor vitals regularly,Maintain hygiene,Avoid oily food
Burn of second degree of right scapular region,Avoid oily food,Monitor vitals regularly,Exercise lightly,Maintain hygiene
"Type III occipital condyle fracture, right side",Take medicines on time,Avoid oily food,Monitor vitals regularly,Exercise lightly
"Poisoning by unspecified systemic antibiotic, intentional self-harm",Monitor vitals regularly,Drink plenty of water,Exercise lightly,Get adequate rest
"Idiopathic aseptic necrosis of bone, other site",Get adequate rest,Exercise lightly,Drink plenty of water,Maintain hygiene
Homicidal and suicidal ideations,Drink plenty of water,Get adequate rest,Exercise lightly,Take medicines on time
Puncture wound without foreign body of right breast,Maintain hygiene,Drink plenty of water,Avoid oily food,Take medicines on time
Sialolithiasis,Take medicines on time,Get adequate rest,Drink plenty of water,Avoid oily food
Cervicalgia,Take medicines on time,Get adequate rest,Monitor vitals regularly,Drink plenty of water
Other fracture of upper end of left ulna,Get adequate rest,Avoid oily food,Monitor vitals regularly,Maintain hygiene
"Family history of other malignant neoplasms of lymphoid, hematopoietic and related tissues",Exercise lightly,Get adequate rest,Avoid oily food,Take medicines on time
Carcinoma in situ of other and unspecified digestive organs,Exercise lightly,Take medicines on time,Drink plenty of water,Maintain hygiene
"Melanoma in situ, unspecified",Avoid oily food,Get adequate rest,Monitor vitals regularly,Drink plenty of water
Person on outside of bus injured in noncollision transport accident in nontraffic accident,Avoid oily food,Take medicines on time,Get adequate rest,Monitor vitals regularly
"Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations",Take medicines on time,Get adequate rest,Exercise lightly,Monitor vitals regularly
Passenger in heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident,Exercise lightly,Maintain hygiene,Drink plenty of water,Take medicines on time
"Transient synovitis, knee",Drink plenty of water,Maintain hygiene,Exercise lightly,Get adequate rest
Abrasion of left wrist,Maintain hygiene,Exercise lightly,Avoid oily food,Take medicines on time
Burn of first degree of right upper arm,Maintain hygiene,Exercise lightly,Avoid oily food,Get adequate rest
"Sequelae of complication of pregnancy, childbirth, and the puerperium",Monitor vitals regularly,Drink plenty of water,Take medicines on time,Maintain hygiene
"Nontraumatic ischemic infarction of muscle, thigh",Maintain hygiene,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh",Maintain hygiene,Take medicines on time,Get adequate rest,Monitor vitals regularly
Abrasion of penis,Drink plenty of water,Get adequate rest,Exercise lightly,Maintain hygiene
Encounter for allergy testing,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Get adequate rest
Unspecified fracture of right lower leg,Get adequate rest,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Neonatal cardiac dysrhythmia,Take medicines on time,Exercise lightly,Get adequate rest,Maintain hygiene
Diabetes mellitus due to underlying condition with unspecified complications,Avoid oily food,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Pedestrian on foot injured in collision with roller-skater,Avoid oily food,Get adequate rest,Maintain hygiene,Monitor vitals regularly
Iris atrophy (essential) (progressive),Get adequate rest,Take medicines on time,Monitor vitals regularly,Exercise lightly
"Chondromalacia, elbow",Exercise lightly,Drink plenty of water,Avoid oily food,Take medicines on time
Sezary disease,Drink plenty of water,Exercise lightly,Take medicines on time,Get adequate rest
Lobster-claw hand,Avoid oily food,Exercise lightly,Take medicines on time,Maintain hygiene
"Poisoning by other antidysrhythmic drugs, accidental (unintentional)",Monitor vitals regularly,Take medicines on time,Drink plenty of water,Avoid oily food
"Other injury of flexor muscle, fascia and tendon of left ring finger at forearm level",Get adequate rest,Exercise lightly,Monitor vitals regularly,Take medicines on time
"Hypertrophy of bone, humerus",Drink plenty of water,Maintain hygiene,Exercise lightly,Take medicines on time
Pityriasis rosea,Get adequate rest,Drink plenty of water,Exercise lightly,Maintain hygiene
Necrotizing enterocolitis,Exercise lightly,Avoid oily food,Monitor vitals regularly,Take medicines on time
Dislocation of distal interphalangeal joint of left middle finger,Maintain hygiene,Exercise lightly,Get adequate rest,Take medicines on time
Displaced avulsion fracture of right ilium,Take medicines on time,Avoid oily food,Maintain hygiene,Drink plenty of water
"Osteopathy after poliomyelitis, thigh",Drink plenty of water,Take medicines on time,Exercise lightly,Monitor vitals regularly
Unspecified open wound of right front wall of thorax without penetration into thoracic cavity,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Exercise lightly
Unspecified pre-eclampsia,Take medicines on time,Get adequate rest,Exercise lightly,Maintain hygiene
Other dislocation of right ulnohumeral joint,Monitor vitals regularly,Get adequate rest,Maintain hygiene,Take medicines on time
Crushing injury of other finger,Drink plenty of water,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Laceration of dorsal vein of unspecified foot,Drink plenty of water,Maintain hygiene,Avoid oily food,Exercise lightly
Laceration of muscle and tendon of back wall of thorax,Take medicines on time,Drink plenty of water,Exercise lightly,Maintain hygiene
Unspecified subluxation of unspecified ulnohumeral joint,Exercise lightly,Drink plenty of water,Get adequate rest,Take medicines on time
Sprain of unspecified site of left knee,Take medicines on time,Get adequate rest,Monitor vitals regularly,Exercise lightly
Displaced fracture of intermediate cuneiform of left foot,Drink plenty of water,Exercise lightly,Maintain hygiene,Avoid oily food
Other forms of chronic ischemic heart disease,Maintain hygiene,Drink plenty of water,Get adequate rest,Take medicines on time
"Unspecified open wound, unspecified hip",Monitor vitals regularly,Take medicines on time,Maintain hygiene,Avoid oily food
Fall into natural body of water striking side causing drowning and submersion,Take medicines on time,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Alternating exotropia with A pattern,Monitor vitals regularly,Get adequate rest,Avoid oily food,Take medicines on time
Uterine size-date discrepancy complicating pregnancy,Take medicines on time,Monitor vitals regularly,Exercise lightly,Get adequate rest
"Other specified joint disorders, elbow",Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
Unspecified cataract,Take medicines on time,Avoid oily food,Exercise lightly,Maintain hygiene
Person on outside of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident,Get adequate rest,Monitor vitals regularly,Drink plenty of water,Exercise lightly
"Other reactive arthropathies, elbow",Avoid oily food,Take medicines on time,Get adequate rest,Drink plenty of water
Other specified inflammatory liver diseases,Maintain hygiene,Avoid oily food,Get adequate rest,Exercise lightly
Other specified inflammations of eyelid,Take medicines on time,Drink plenty of water,Exercise lightly,Get adequate rest
Traumatic rupture of unspecified ligament of right ring finger at metacarpophalangeal and interphalangeal joint,Exercise lightly,Avoid oily food,Get adequate rest,Maintain hygiene
"Poisoning by 4-Aminophenol derivatives, accidental (unintentional)",Drink plenty of water,Exercise lightly,Avoid oily food,Get adequate rest
Assault by airgun discharge,Get adequate rest,Avoid oily food,Maintain hygiene,Take medicines on time
Gastric contents in bronchus causing other injury,Take medicines on time,Avoid oily food,Drink plenty of water,Exercise lightly
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less",Avoid oily food,Monitor vitals regularly,Maintain hygiene,Get adequate rest
Drowning and submersion due to other accident to other powered watercraft,Exercise lightly,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Dislocation of proximal interphalangeal joint of right little finger,Monitor vitals regularly,Drink plenty of water,Avoid oily food,Maintain hygiene
Nondisplaced fracture of medial phalanx of unspecified finger,Take medicines on time,Get adequate rest,Exercise lightly,Avoid oily food
"Unspecified injury of flexor muscle, fascia and tendon of left ring finger at wrist and hand level",Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Coma scale, best verbal response, confused conversation",Maintain hygiene,Avoid oily food,Drink plenty of water,Monitor vitals regularly
Fall due to collision between other powered watercraft and other watercraft or other object,Get adequate rest,Drink plenty of water,Exercise lightly,Maintain hygiene
Accidental puncture and laceration of a nervous system organ or structure during a procedure,Get adequate rest,Exercise lightly,Drink plenty of water,Monitor vitals regularly
Corrosion of first degree of abdominal wall,Take medicines on time,Drink plenty of water,Avoid oily food,Get adequate rest
Frostbite with tissue necrosis of other part of head,Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Other physeal fracture of upper end of unspecified femur,Get adequate rest,Exercise lightly,Drink plenty of water,Monitor vitals regularly
Contusion of unspecified ring finger with damage to nail,Avoid oily food,Get adequate rest,Monitor vitals regularly,Take medicines on time
Pregnancy with inconclusive fetal viability,Monitor vitals regularly,Get adequate rest,Avoid oily food,Take medicines on time
"Disease of intestine, unspecified",Get adequate rest,Avoid oily food,Monitor vitals regularly,Exercise lightly
Other sprain of left index finger,Drink plenty of water,Avoid oily food,Take medicines on time,Maintain hygiene
Other gonococcal infections,Monitor vitals regularly,Get adequate rest,Drink plenty of water,Avoid oily food
"Other injury of extensor muscle, fascia and tendon of left middle finger at wrist and hand level",Drink plenty of water,Take medicines on time,Get adequate rest,Maintain hygiene
"Nondisplaced comminuted fracture of shaft of humerus, right arm",Avoid oily food,Maintain hygiene,Take medicines on time,Get adequate rest
"Cervical disc disorder with radiculopathy, cervicothoracic region",Monitor vitals regularly,Get adequate rest,Maintain hygiene,Avoid oily food
"Strain of other muscles, fascia and tendons at forearm level, unspecified arm",Exercise lightly,Get adequate rest,Drink plenty of water,Avoid oily food
