Disease,Description
Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of middle phalanx of left middle finger,Nondisplaced fracture of middle phalanx of left middle finger is a medical condition that requires attention. Symptoms may vary.
Unspecified glaucoma,Unspecified glaucoma is a medical condition that requires attention. Symptoms may vary.
Other injury of other intra-abdominal organs,Other injury of other intra-abdominal organs is a medical condition that requires attention. Symptoms may vary.
"Hemorrhage due to nervous system prosthetic devices, implants and grafts","Hemorrhage due to nervous system prosthetic devices, implants and grafts is a medical condition that requires attention. Symptoms may vary."
"Traumatic arthropathy, wrist","Traumatic arthropathy, wrist is a medical condition that requires attention. Symptoms may vary."
"Lead-induced chronic gout, unspecified wrist","Lead-induced chronic gout, unspecified wrist is a medical condition that requires attention. Symptoms may vary."
Nondisplaced fracture of lateral cuneiform of right foot,Nondisplaced fracture of lateral cuneiform of right foot is a medical condition that requires attention. Symptoms may vary.
"Exudative age-related macular degeneration, unspecified eye","Exudative age-related macular degeneration, unspecified eye is a medical condition that requires attention. Symptoms may vary."
Disseminated intravascular coagulation [defibrination syndrome],Disseminated intravascular coagulation [defibrination syndrome] is a medical condition that requires attention. Symptoms may vary.
Superficial frostbite of unspecified ankle,Superficial frostbite of unspecified ankle is a medical condition that requires attention. Symptoms may vary.
"Malocclusion, Angle's class","Malocclusion, Angle's class is a medical condition that requires attention. Symptoms may vary."
Corrosion of second degree of right scapular region,Corrosion of second degree of right scapular region is a medical condition that requires attention. Symptoms may vary.
"Pulmonary eosinophilia, not elsewhere classified","Pulmonary eosinophilia, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
Dislocation of unspecified parts of left shoulder girdle,Dislocation of unspecified parts of left shoulder girdle is a medical condition that requires attention. Symptoms may vary.
"Other secondary chronic gout, left hand","Other secondary chronic gout, left hand is a medical condition that requires attention. Symptoms may vary."
"Salter-Harris Type III physeal fracture of lower end of humerus, right arm","Salter-Harris Type III physeal fracture of lower end of humerus, right arm is a medical condition that requires attention. Symptoms may vary."
Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident,Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident is a medical condition that requires attention. Symptoms may vary.
Rheumatoid arthritis of hip with involvement of other organs and systems,Rheumatoid arthritis of hip with involvement of other organs and systems is a medical condition that requires attention. Symptoms may vary.
Other congenital malformations of anterior segment of eye,Other congenital malformations of anterior segment of eye is a medical condition that requires attention. Symptoms may vary.
"Poisoning by benzodiazepines, accidental (unintentional)","Poisoning by benzodiazepines, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Corrosion of unspecified degree of left knee,Corrosion of unspecified degree of left knee is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of shaft of other metacarpal bone,Nondisplaced fracture of shaft of other metacarpal bone is a medical condition that requires attention. Symptoms may vary.
Compression of vein,Compression of vein is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm","Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of fluorine gas and hydrogen fluoride, undetermined","Toxic effect of fluorine gas and hydrogen fluoride, undetermined is a medical condition that requires attention. Symptoms may vary."
"Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional)","Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Benign lipomatous neoplasm of other sites,Benign lipomatous neoplasm of other sites is a medical condition that requires attention. Symptoms may vary.
Type 1 diabetes mellitus with unspecified complications,Type 1 diabetes mellitus with unspecified complications is a medical condition that requires attention. Symptoms may vary.
